Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
0.3,25.3,9370,47.5,1010.6,22.1,85.0,83.0
0.6,25.3,5684,47.5,1010.6,22.1,60.0,65.0
0.9,25.4,5684,47.4,1010.6,22.0,58.0,56.0
1.2,25.4,5684,47.6,1010.6,21.9,62.0,63.0
1.5,25.5,5684,47.9,1010.6,21.8,85.0,85.0
1.8,25.6,5684,48.1,1010.6,21.7,124.0,122.0
2.1,25.6,5684,48.3,1010.6,21.7,127.0,132.0
2.4,25.6,5684,48.3,1010.7,21.7,130.0,129.0
2.7,25.6,6185,48.3,1010.6,21.7,132.0,128.0
3.0,25.7,6724,48.1,1010.6,21.7,130.0,129.0
3.3,25.7,7541,47.9,1010.7,21.6,130.0,129.0
3.59999,25.7,8396,47.7,1010.6,21.7,126.0,125.0
3.89999,25.7,9232,47.6,1010.6,21.7,127.0,124.0
4.19999,25.7,10107,47.4,1010.6,21.8,60.0,65.0
4.49999,25.7,10992,47.2,1010.6,21.9,121.0,121.0
4.79999,25.7,12125,47.1,1010.6,21.8,128.0,128.0
5.09999,25.7,13117,46.9,1010.6,21.8,130.0,129.0
5.39999,25.7,14106,46.8,1010.6,21.8,129.0,131.0
5.69999,25.7,15158,46.8,1010.6,21.9,128.0,128.0
5.99999,25.7,16157,46.7,1010.6,21.9,128.0,128.0
6.29999,25.7,17325,46.6,1010.6,21.9,129.0,128.0
6.59999,25.7,18449,46.5,1010.6,21.9,120.0,121.0
6.89999,25.7,19530,46.5,1010.6,21.9,119.0,120.0
7.19999,25.7,20705,46.4,1010.6,21.8,118.0,120.0
7.49998,25.7,21850,46.3,1010.6,21.7,122.0,120.0
7.79998,25.7,23464,46.3,1010.6,21.7,119.0,119.0
8.09998,25.7,24601,46.2,1010.7,21.7,116.0,120.0
8.39998,25.7,25837,46.2,1010.6,21.7,118.0,118.0
8.69998,25.7,27032,46.2,1010.6,21.7,120.0,118.0
8.99998,25.7,28212,46.1,1010.6,21.7,122.0,117.0
9.29998,25.7,29337,46.1,1010.6,21.7,116.0,121.0
